Organization Name,Topic area,URL,Main Web Page,Mission Statement,Policy Isssue Resources,Campaign and Advocacy,Public Facing Advocacy Writing,Newsletters,Annual reports,Speeches,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2018/03/30/new-legislation-aimed-at-fighting-trafficking-on-digital-platforms-could-put-sex-workers-in-danger/,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2018/03/28/sex-trafficking-bill-that-killed-craigslists-personals-is-hurting-sex-workers/,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2018/02/12/the-right-to-mother-and-do-sex-work-2-2/,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2017/02/24/nypd-still-arresting-sex-workers-despite-pledge-to-target-traffickers/,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2016/07/18/why-its-perfectly-legal-for-airbnb-to-discriminate-against-sex-workers/,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/20060901-SWPCommentsToSRT.pdf,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/20071211JTTestimonyForOTDADCJS.pdf,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/working-group/downloads/20070330BriefingPaperOnDemand.pdf,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/20070222-SWPNSWPStatementOnTrafficking.pdf,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/20080611SWPTestimonyOpposingHR3887.pdf,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/20080609-NYATN-TVPRA-Letter.pdf,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/2011/20110808-statement-to-global-commission-on-hiv-and-law.pdf,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/2011/20110223-upr-expert-letter.pdf,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/2011/20110215-md-vpr-sb327-testimony.pdf,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/2012/20120530-naag-letter.pdf,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/2013/20130919-cedaw-recommendations-rural-women-mexico.pdf,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/2013/20130618-city-council-testimony.pdf,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/2013/20130125-city-council-testimony.pdf,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/2013/20130125-swp-comments-on-uniform-trafficking-law.pdf,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/2013/20130125-swp-follow-up-comments-on-uniform-trafficking-law.pdf,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/2014/20141203-testimony-robin-richardson-fair-chance.pdf,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/2014/20141110-letter-to-flint-mi-police.pdf,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/2014/20140528-rhode-island-trafficking-law-memo.pdf,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/2016/20160705-un-women-letter.pdf,,,,1,,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2021/09/26/reeling-2021-the-journey-of-monalisa-is-intimate-and-winding/,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2021/09/24/sex-workers-sick-of-onlyfans-are-building-their-own-websites/,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2021/09/11/how-to-support-sex-trafficking-survivors-without-harming-consenting-sex-workers/,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2021/08/19/apple-photo-scanning-plan-faces-global-backlash-from-90-rights-groups/,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2021/08/20/utah-politicians-applaud-onlyfans-ban-of-sexually-explicit-content-but-questions-remain/,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2021/07/09/city-budget-includes-broad-increase-in-funding-for-lgbtq-initiatives/,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2021/05/17/hbo-crime-drama-mare-of-easttown-perpetuates-a-familiar-and-dangerous-trope/,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2021/05/10/coalition-calls-for-united-nations-inquiry-into-us-police-violence/,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2020/11/09/kamala-harris-is-our-new-vp-and-that-holds-different-meanings-for-people/,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2020/06/01/hrp-and-swp-joint-statement-on-white-supremacist-state-violence/,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2020/05/24/i-have-a-mortgage-to-pay-sex-workers-banned-from-small-business-loans-under-cares-act-due-to-prurient-sexual-nature/,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2020/03/31/an-activist-a-warrior-a-mother-to-so-many-lorena-borjas-pillar-of-new-york-trans-community-dies-from-coronavirus/,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2019/07/18/these-transgender-latinas-want-new-york-state-to-decriminalize-sex-work/,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2019/03/22/should-sex-work-be-decriminalized-some-activists-say-its-time/,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2019/03/22/should-sex-work-be-decriminalized-some-activists-say-its-time-2/,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2019/03/03/drugs-sex-work-and-gambling-embraced-by-2020-hopefuls/,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2019/03/03/drugs-sex-work-and-gambling-embraced-by-2020-hopefuls-2/,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2019/02/01/lawyer-and-escort-rj-thompson-wants-to-end-the-stigma-around-sex-work/,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2018/09/21/inside-ny-courts-where-sex-workers-are-painted-as-victims-and-treated-as-criminals/,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2018/09/17/ghjp-releases-reports-on-prostitution-diversion-programs/,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2018/04/12/an-attack-on-sex-workers/,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://www.urbanjustice.org/2017/12/21/a-vigil-for-sex-workers-killed-in-2017/,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/20051025JTTestimony.pdf,,,,,1,,,,
Urban Justice Center,Sex Workers' rights and Human Trafficking,https://sexworkersproject.org/downloads/20060928-SapnaPatelTestimony.pdf,,,,,1,,,,
