Organization Name,Topic area,URL,Main Web Page,Mission Statement,Policy Isssue Resources,Campaign and Advocacy,Public Facing Advocacy Writing,Newsletters,Annual reports,SpeechWTranscript,SpeechNoTranscript,NOTES,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/new-release-hearing-held-cia-tortured-gitmo-forever-prisoner,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/prb-declines-approve-ccr-client-transfer-guant%C3%A1namo,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/tortured-gitmo-detainee-had-history-severe-mental-illness,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/former-guant-namo-chief-being-investigated-torture-no-show-french,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/former-guantanamo-prisoner-petitions-human-rights-commission-over,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/gitmo-attorney-my-client-weighs-75-pounds-he-must-be-released,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/former-cia-detainee-majid-khan-s-torture-finally-public,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/court-finds-abuse-former-guant-namo-detainees-standard-foreseeable,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/spanish-court-refuses-close-guant-namo-torture-investigation,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/press-center/press-releases/ccr-guant-namo-client-released-secret-detention-algeria-still-risk,,,,,1,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,"Torture, Former Combatants, Political Prisoners, Terror Suspects, & Terrorists",https://ccrjustice.org/home/blog/2017/09/18/ccr-news-abu-ghraib-torture-survivors-still-fighting-accountability-and-redress,,,,,1,,,,,,,,,,,,,,,,,,,
